candidate_id,title,authors,year,venue,doi,evidence_strength,scientific_role,coding_status,score,selection_reason
C251AB35E014B,A Faithful Mechanism for Incremental Multi-Agent Agreement Problems with Self-Interested and Privacy-Preserving Agents,Farzaneh Farhadi; Nicholas R. Jennings,2021,SN Computer Science,10.1007/s42979-021-00650-4,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
C41DFAA18CCC5,A Novel Hybrid Auction Algorithm for Multi-UAVs Dynamic Task Assignment,Xiaojun Duan; Huiying Liu; Hong Tang; Qing Cai; Fan Zhang; Xiaotian Han,2019,IEEE Access,10.1109/access.2019.2959327,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
CDB55CB433AE2,A Two-Level Clustered Consensus-Based Bundle Algorithm for Dynamic Heterogeneous Multi-UAV Multi-Task Allocation,Yichao Wang; Chunjiang Wang; Shuangyin Ren,2025,Sensors,10.3390/s25216738,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
C23A9081289BD,"A decentralized multi-agent unmanned aerial system to search, pick up, and relocate objects",Rik Bahnemann; Dominik Schindler; Mina Kamel; Roland Siegwart; Juan Nieto,2017,,10.1109/ssrr.2017.8088150,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
CD0C4805D863E,A taxonomy for multi-agent robotics,Gregory Dudek; Michael Jenkin; Evangelos Milios; D. Wilkes,1996,Autonomous Robots,10.1007/bf00240651,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
C86FD126585DC,"Collaborative Multi-Robot Search and Rescue: Planning, Coordination, Perception, and Active Vision",Jorge Peña Queralta; Jussi Taipalmaa; Bilge Can Pullinen; Victor Kathan Sarker; Tuan Nguyen Gia; Hannu Tenhunen; Moncef Gabbouj; Jenni Raitoharju; Tomi Westerlund,2020,IEEE Access,10.1109/access.2020.3030190,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
C0416B81A39F7,Collaborative Task Allocation of Heterogeneous Multi-Unmanned Platform Based on a Hybrid Improved Contract Net Algorithm,Man Zhao; Dongcheng Li,2021,IEEE Access,10.1109/access.2021.3084238,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
CACE7C6BAFBE9,Decentralised task planning and motion coordination for scalable multi-robot collaborative manufacturing,Hang Yang; Wenjun Xu; Duc Truong Pham; Lei Qi; Mengyuan Ba,2026,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2026.103255,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
C7E42B6B27F68,Decentralized Information-driven Approach for Tracking Multiple Moving Targets with Multi-Robot Networks,Junyi Dong; Sushrut Surve; C Liu; Kyung Rak Jang; Suming Qiu; Pingping Zhu; Alexandra Abad; Harleen Brar; Anna Scaglione; Silvio Ferrari,2026,Autonomous Robots,10.1007/s10514-026-10249-4,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
CDD133AC37330,Decentralized Task Assignment with Precedence Constraints Using Approximate Message Passing Algorithm,Byeong-Min Jeong; Dae-Sung Jang; Han-Lim Choi,2026,International Journal of Aeronautical and Space Sciences,10.1007/s42405-025-01105-3,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
CDE08BC05F461,Distributed Algorithm Design for Constrained Multi-robot Task Assignment,Lingzhi Luo,2014,KiltHub Repository,10.1184/r1/6715982,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
C666BA5A274C6,Distributed Allocation and Scheduling of Tasks with Cross-Schedule Dependencies for Heterogeneous Multi-Robot Teams,"Ferreira, Barbara Arbanas; Tamara Petrović; Matko Orsag; Martínez-de-Dios, J. Ramiro; Stjepan Bogdan",2021,arXiv (Cornell University),10.48550/arxiv.2109.03089,fulltext_verified,ENABLING,coded_fulltext_structural_pass,19,ENABLING structural role plus observed method/physical/theory signal
