method,method_label,scenario,seed,n_robots,world_hash,target_reached,safe_transport_success,any_collision,timeout,numerical_failure,termination_reason,time_to_target_s,final_position_error_m,final_orientation_error_rad,min_clearance_m,raw_barrier_violation_rate,safe_barrier_violation_rate,exec_barrier_violation_rate,guard_intervention_norm,wrench_realization_rmse,saturation_fraction,positive_hamiltonian_delta_rate,mechanical_work_j,force_effort_n2s,messages,runtime_wall_s,steps,max_mechanics_residual,positions_repaired_after_integration
pose_pd_raw,Pose PD (RAW),open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,1,1,0,0,0,target_reached,28.2,0.2659454458808424,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,7.406896422193868e-16,0.0,0.0,210.62892256609132,1420.9093341023251,0,0.097451499896124,188,4.40584072590458e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,1,1,0,0,0,target_reached,28.2,0.2659454458808424,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,7.406896422193868e-16,0.0,0.0,210.62892256609132,1420.9093341023251,0,0.09059890010394156,188,4.40584072590458e-14,0
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,1,1,0,0,0,target_reached,28.2,0.2659454458808424,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,7.406896422193868e-16,0.0,0.0,210.62892256609132,1420.9093341023251,0,0.08913860004395247,188,4.40584072590458e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,1,1,0,0,0,target_reached,28.2,0.2659454458808424,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,1.81177524883608e-12,6.002256945219039e-16,0.0,0.0,210.62892256609135,1420.9093341023251,1504,0.08426039991900325,188,1.464821375527116e-14,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,1,1,0,0,0,target_reached,32.55,0.27214389174643483,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,0.0,7.612835216887027e-16,0.0,0.0,195.69105467285002,1365.8991910368254,0,0.1000515001360327,217,4.488171840998847e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,1,1,0,0,0,target_reached,32.55,0.27214389174643483,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,2.023265192467955e-12,6.77095745536653e-16,0.0,0.0,195.69105467285004,1365.8991910368252,1736,0.1004570999648422,217,7.32410687763558e-15,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,1,1,0,0,0,target_reached,33.449999999999996,0.27689963107772747,0.002248225917458324,1.6592061658910175,0.0,0.0,0.0,1.857338594658836e-12,6.554999039454393e-16,0.0,0.0,189.71523985642574,1283.6052358704992,1784,0.10441879997961223,223,7.160723346098895e-15,0
centralized_preview_reference,Centralized preview reference,open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,1,1,0,0,0,target_reached,35.25,0.27387870484659005,0.0010453402401080503,1.659206165891018,0.0,0.0,0.0,1.7421052847225232e-12,6.735123009473259e-16,0.0,0.0,183.58220626574985,1242.8579453933203,2820,0.11358339991420507,235,1.432144669219779e-14,0
pose_pd_raw,Pose PD (RAW),open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,1,1,0,0,0,target_reached,28.2,0.267941515250364,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,7.243314302581862e-16,0.0,0.0,213.77371386866483,1442.1178629469703,0,0.08987700007855892,188,4.5373363037713875e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,573001,4,3c10e1a7b412f2bf6668135e7628f798dac75d281c43b26a3541be8b8b0c40eb,1,1,0,0,0,target_reached,28.2,0.267941515250364,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,7.243314302581862e-16,0.0,0.0,213.77371386866483,1442.1178629469703,0,0.0885683000087738,188,4.5373363037713875e-14,0
