experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,assignment_valid,rates_valid,precision_coverage_valid,oracle_dominance_valid,message
SP3_DEBUG_smoke,setup,setup_v00,4100,wrench_oracle,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,oracle_scalar_assignment,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,capacity_greedy_slots,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,cbba_slots,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,smith_wrench_deficit,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,smith_wrench_marginal,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,smith_wrench_marginal_guarded,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,support_dual_wrench_market,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,support_dual_wrench_market_guarded,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4100,smith_wrench_pairs_guarded,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,wrench_oracle,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,oracle_scalar_assignment,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,capacity_greedy_slots,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,cbba_slots,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,smith_wrench_deficit,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,smith_wrench_marginal,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,smith_wrench_marginal_guarded,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,support_dual_wrench_market,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,support_dual_wrench_market_guarded,True,True,True,True,True,
SP3_DEBUG_smoke,setup,setup_v00,4101,smith_wrench_pairs_guarded,True,True,True,True,True,
SP3_DEBUG_smoke,point_load_degenerate,point_load_degenerate_v00,4100,wrench_oracle,True,True,True,True,True,
SP3_DEBUG_smoke,point_load_degenerate,point_load_degenerate_v00,4100,oracle_scalar_assignment,True,True,True,True,True,
SP3_DEBUG_smoke,point_load_degenerate,point_load_degenerate_v00,4100,capacity_greedy_slots,True,True,True,True,True,
SP3_DEBUG_smoke,point_load_degenerate,point_load_degenerate_v00,4100,cbba_slots,True,True,True,True,True,
SP3_DEBUG_smoke,point_load_degenerate,point_load_degenerate_v00,4100,smith_wrench_deficit,True,True,True,True,True,
SP3_DEBUG_smoke,point_load_degenerate,point_load_degenerate_v00,4100,smith_wrench_marginal,True,True,True,True,True,
