experiment_id,world_hash,seed,replicate,n_robots,n_loads,heterogeneity,demand_ratio,geometry,graph,lambda2,method,protocol,fitness_mode,robot,label
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,0,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,1,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,2,3
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,3,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,4,3
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,5,2
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,6,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__plain_deficit,smith,plain_deficit,7,2
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,0,2
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,1,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,2,3
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,3,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,4,3
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,5,2
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,6,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_deficit,smith,marginal_deficit,7,0
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,0,2
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,1,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,2,3
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,3,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,4,3
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,5,2
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,6,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,smith__marginal_log,smith,marginal_log,7,0
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,0,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,1,0
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,2,3
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,3,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,4,3
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,5,2
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,6,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__plain_deficit,replicator,plain_deficit,7,2
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__marginal_deficit,replicator,marginal_deficit,0,1
SP2_HETEROGENEOUS_GAME_PILOT,502d15cca9d4c43ed115,339900,0,8,3,low,0.7,uniform,complete,7.999999999999991,replicator__marginal_deficit,replicator,marginal_deficit,1,0
