timestamp_utc,anchor_candidate_id,anchor_openalex_id,hop,direction,source,candidate_openalex_id,candidate_id,candidate_title,candidate_doi,stage1a_match_candidate_id,discovery_status,topic_relevance,preliminary_screening_decision,notes
2026-09-12T20:56:49.915759+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W2151408086,CEC5D9AEF2836,The Contract Net Protocol: High-Level Communication and Control in a Distributed Problem Solver,10.1109/tc.1980.1675516,CEC5D9AEF2836,already_in_stage1b,not_relevant_under_v1,exclude,match_method=doi_exact;score=100.0
2026-09-12T20:56:49.915944+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W2142544818,C4B439BC6A12D,Consensus-Based Decentralized Auctions for Robust Task Allocation,10.1109/tro.2009.2022423,C4B439BC6A12D,already_in_stage1b,relevant_or_plausible,maybe_fulltext,match_method=doi_exact;score=100.0
2026-09-12T20:56:49.920344+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W3041866381,C8EB894D3A21F,Sensing Data Supported Traffic Flow Prediction via Denoising Schemes and ANN: A Comparison,10.1109/jsen.2020.3007809,,new_candidate,not_relevant_under_v1,exclude,match_method=new;score=0.0
2026-09-12T20:56:49.921143+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W2076422387,C891DE52864F0,A Heuristic Distributed Task Allocation Method for Multivehicle Multitask Problems and Its Application to Search and Rescue Scenario,10.1109/tcyb.2015.2418052,C891DE52864F0,already_in_stage1b,relevant_or_plausible,maybe_fulltext,match_method=doi_exact;score=100.0
2026-09-12T20:56:49.925403+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W2345888804,C34E2EF86DAE9,Minimum Manhattan Distance Approach to Multiple Criteria Decision Making in Multiobjective Optimization Problems,10.1109/tevc.2016.2564158,,new_candidate,not_relevant_under_v1,exclude,match_method=new;score=0.0
2026-09-12T20:56:49.929332+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W3104757324,C2CB0FF446E73,Minimum Manhattan Distance Approach to Multiple Criteria Decision Making in Multiobjective Optimization Problems,,,new_candidate,not_relevant_under_v1,exclude,match_method=new;score=0.0
2026-09-12T20:56:49.930829+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W1707207708,CCEA9F60B34C5,Distributed Algorithms for Multirobot Task Assignment With Task Deadline Constraints,10.1109/tase.2015.2438032,CCEA9F60B34C5,already_in_stage1b,relevant_or_plausible,include_fulltext,match_method=doi_exact;score=100.0
2026-09-12T20:56:49.936563+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W2129799459,C90D6E9DDD94B,Optimization and coordinated autonomy in mobile fulfillment systems,,,new_candidate,not_relevant_under_v1,exclude,match_method=new;score=0.0
2026-09-12T20:56:49.941345+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W3013247350,CF9E0DA9C2845,Decentralized task allocation for heterogeneous multi-UAV system with task coupling constraints,10.1007/s11227-020-03264-4,,new_candidate,relevant_or_plausible,include_fulltext,match_method=new;score=0.0
2026-09-12T20:56:49.942004+00:00,C5A3277764A58,W4410956649,one,backward,openalex,W1430617670,CE7A20F25FD79,Multi-Robot Auctions for Allocation of Tasks with Temporal Constraints,10.1609/aaai.v29i1.9440,CE7A20F25FD79,already_in_stage1b,relevant_or_plausible,include_fulltext,match_method=doi_exact;score=100.0
