reserve_delta,failure_fraction_nominal,n_worlds,recovery_rate,recovery_ci_low,recovery_ci_high,assignment_churn_median,relative_cost_increase_median,theory_agreement_rate
0.0,0.0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,1.0
0.0,0.05,300,0.0,8.673617379884035e-19,0.012642971224546034,0.2105263157894736,,1.0
0.0,0.1,300,0.0,8.673617379884035e-19,0.012642971224546034,0.2986111111111111,,1.0
0.0,0.2,300,0.0,8.673617379884035e-19,0.012642971224546034,0.4013671875,,1.0
0.0,0.3,300,0.0,8.673617379884035e-19,0.012642971224546034,0.4642857142857143,,1.0
0.1,0.0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,1.0
0.1,0.05,300,1.0,0.9873570287754538,0.9999999999999998,0.11835916583452724,0.0644918698328074,1.0
0.1,0.1,300,1.0,0.9873570287754538,0.9999999999999998,0.23437499999999994,0.15904632701960641,1.0
0.1,0.2,300,0.0,8.673617379884035e-19,0.012642971224546034,0.4358974358974359,,1.0
0.1,0.3,300,0.0,8.673617379884035e-19,0.012642971224546034,0.4233576642335766,,1.0
0.2,0.0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,1.0
0.2,0.05,300,1.0,0.9873570287754538,0.9999999999999998,0.0701754385964912,0.047227239349286854,1.0
0.2,0.1,300,1.0,0.9873570287754538,0.9999999999999998,0.1342592592592592,0.10067338681048975,1.0
0.2,0.2,300,1.0,0.9873570287754538,0.9999999999999998,0.2864583333333333,0.26512922767613023,1.0
0.2,0.3,300,1.0,0.9873570287754538,0.9999999999999998,0.4761904761904761,0.540802610425249,1.0
0.33,0.0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,1.0
0.33,0.05,300,1.0,0.9873570287754538,0.9999999999999998,0.04,0.037192696439394005,1.0
0.33,0.1,300,1.0,0.9873570287754538,0.9999999999999998,0.0839160839160839,0.08067922706724859,1.0
0.33,0.2,300,1.0,0.9873570287754538,0.9999999999999998,0.1746031746031746,0.18764662993026654,1.0
0.33,0.3,300,1.0,0.9873570287754538,0.9999999999999998,0.2914798206278027,0.347542939385237,1.0
